I> [16/07/2009 05:19:25] Port activé avec succès.
I> [16/07/2009 17:16:59] Réception: programme 25 (122704202A)
I> [16/07/2009 17:17:10] Réception: programme 26 (122704202A)
I> [16/07/2009 17:17:24] Réception: programme 619 (122704202A)
I> [16/07/2009 17:17:34] Réception: programme 620 (122704202A)
I> [16/07/2009 17:17:43] Réception: programme 621 (122704202A)
I> [16/07/2009 17:18:07] Réception: programme 622 (122704202A)
I> [16/07/2009 17:18:56] Réception: programme 4441 (122704202A)
I> [16/07/2009 17:19:02] Réception: programme 4443 (122704202A)
I> [16/07/2009 17:19:09] Fichier reçu: C:\machines\T32 Bis\Programmes\122704202A.MZK
I> [16/07/2009 17:19:09] Programmes dans les fichiers demandés: Programme 25 (122704202A), Programme 26 (122704202A), Programme 619 (122704202A), Programme 620 (122704202A), Programme 621 (122704202A), Programme 622 (122704202A), Programme 4441 (122704202A), Programme 4443 (122704202A)
