I> [21/06/05 09:22:26] Réception: programme 3706 (1974605C 5)
I> [21/06/05 09:22:42] Réception: programme 3349 (1974605C 5)
I> [21/06/05 09:23:06] Fichier reçu: C:\machines\T32\Programmes\1974605C 5.MZK
I> [21/06/05 09:23:06] Programmes dans les fichiers demandés: Programme 3706 (1974605C 5), Programme 3349 (1974605C 5)
I> [21/06/05 10:33:16] Port activé avec succès.
I> [21/06/05 10:35:32] Port activé avec succès.
I> [21/06/05 10:40:30] Port activé avec succès.
I> [21/06/05 10:59:23] Port activé avec succès.
I> [21/06/05 11:23:04] Port activé avec succès.
I> [21/06/05 11:27:07] Port activé avec succès.
I> [21/06/05 11:39:47] Port activé avec succès.
I> [21/06/05 11:48:06] Port activé avec succès.
I> [21/06/05 11:54:25] Port activé avec succès.
I> [21/06/05 12:41:43] Port activé avec succès.
I> [21/06/05 12:59:01] Port activé avec succès.
I> [21/06/05 13:02:10] Port activé avec succès.
